Gremio/empresa interesada,Pais,Producto,Tipo,Ingreso de Solicitud, Inicio,Fecha ultima gestión,Fecha apertura,Estado,Observaciones
Exporlac,Vietnam,Leche y prod. Lacteos,Apertura,,1/06/2012,22/03/2017,,Pendiente Vietnam,"El 22 de marzo 2017 durante una reunión informal entre las delegaciones de Chile-Vietnam, en el comité SPS de la OMC. Se solicita la confirmación oficial de la validez del CZE para leche y prod. Lácteos, y la confirmación del procedimiento de autorización de plantas. "
,Canadá,Leche y productos lácteos,Mantención,,23/09/2015,20/01/2016,,Pendiente SAG,"20.01.2016: La CFIA envia modelos de CZE;Chile puede seguir exportando usando los certificados vigentes hasta que los modelos adjuntados por CFIA se implementen, siempre que el proceso no se prolongue indebidamente."
APA/ASPROCER,Canadá,Subproductos comestibles de origen animal/despojos comestibles,"mantención , Modificación de CZE",,1/12/2015,17/03/2016,Sep-16,Finalizado,"29.04.2016: En carta SAG N°2641/2016 se envía nueva propuesta de certificados Zoosanitarios para certificar las exportaciones de carne y productos cárnicos derivados de las especies Bovino, Ovino, Aves de Corral, Porcinos y despojos comestibles en base al Anexo A, de acuerdo a comentarios de CFIA. Canadá acepta modificaciones de certificados propuestas por SAG. El periodo de transición finaliza el 12 de octubre. "
AGEM, (Bermudas) - CARICOM,Carne de aves,Apertura,,1/06/2016,15/07/2016,Jul-16,Finalizado,"15.07.16 a través de correo electrónico la AS de Bermudas informa que ha analizado el modelo, e informa que reúne los requerimientos, por lo tanto ha aceptado el CZE, de este modo se puede iniciar la exportación de este producto."
,CARICOM,Carne de aves y cerdos,Apertura,may-2013,,1/03/2016,,Pendiente Caricom,"Pendiente respuesta CARICOM.  El 13.02.2017  La Secretaría de CARICOM comunica que el el informe final de la visita realizada en marzo del 2016,  se presentará a consideración (Resolución) en la próxima reunión del COTED (14° reunión) a realizar en mayo del 2017.
-Entre el 14 y 18 de marzo del 2016, se realizó la visita  a los planteles de aves (3) y porcinos (2), no hay claridad que sistema de habilitación se utilizará, directa o delegada. "
,Costa Rica,"Genetica porcina (semen, animales para reproduccción)",Apertura,Privados,1/04/2014,27/05/2015,Oct-15,Detenido,"10.06.15 MAG en carta N° 793 señala que el establecimiento PIC Andina será visitado a partir del 22 de junio como parte del proceso de aprobación para la exportación de cerdos vivos y semen porcino.
Sin interes de PIC andina
"
GANADEROS,Cuba,Productos elaborados con materia prima de terceros países,Apertura,,6/10/2015,14/10/2015,10.10.2015,Finalizado.,
,EE.UU,Abejas (paquetes),Apertura,,año 2009,,Dec-09,Detenido,
,EE.UU,Caracoles,,,,,Dec-11,Detenido,
,EE.UU,Carne bovina,Apertura,,,,antes del 2005,Finalizado,
,EE.UU,Carne de aves,Apertura,,antes del 2005,,Dec-07,Finalizado,
,EE.UU,Carne ovina,Apertura,,,,antes del 2005,Finalizado,
,EE.UU,Carne de cerdo,Apertura,,,,antes del 2005,Finalizado,
,EE.UU,Ganado en pie,Apertura,Privado,17/03/2015,1/12/2016,,Pendiente EEUU,"En diciembre del 2016, durante el Comité TLC USA-Chile, Chile solicita avanzar en este tema y USA se compromete a dar respuesta a propuesta de CZE enviada por SAG el 31.08.2016"
,EE.UU,Alimento para mascotas,Mantención,SAG,1/03/2014,31/03/2016,May-16,Finalizado,"En marzo de 2014, se hace efectiva la “BSE Comprehensive Rule”, relativa a productos bovinos y derivados bovinos, clasificando regiones con riesgo insignificante, controlado e indeterminado de BSE (Encefalopatía Espongiforme Bovina (EEB)). Para exportar, se debe completar información en el documento: ""Imported Products Facility Inspection Checklist"" (BSE Questionnaire). En Seminario del 31.03.2016 en Chile, USDA-APHIS acuerda con SAG seguir llenando información de dicho documento sin ser actualizada la condición de Chile, de país con riesgo insignificante de BSE (Ver minuta mayo 2016)."
,EE.UU,Detección de Influenza aviar H7,Mantención,SAG,20/05/2016,03/01/201,,Pendiente SAG,"Mercado abierto hacia Estados Unidos y Chile. SAG ha levantado restricciones para exportar a Chile, de carne fresca y congelada y genética de aves de corral de distintos Estados (más detalles en minuta de febrero de 2016/mayo de 2016/noviembre 2016). Por carta SAG N°49/2017 se comunica a AA caso de Influenza aviar H7 circunscrito a un plantel de pavos ubicado Quilpué – Valparaíso, el día 30 de Diciembre de 2016, situación que se ha comunicado a la OIE. Se indica que aun se investiga el nivel de patogenicidad del virus, para determinar las medidas sanitarias a  implementar para mantener el comercio."
,EE.UU,Huevos fértiles de pavo y/o pavitos de un día,Apertura,Privado,18/05/2016,17/06/2016,,Pendiente EEUU,En carta SAG N°3173/2016 se solicitan los requisitos sanitarios para exportar esta mercancía.
,EE.UU,Lacteos,Apertura,,,,antes del 2005,,
,EE.UU,Plasma bovino,Apertura,,,,Dec-11,,
,EE.UU,Productos carnicos procesados aves,Apertura,,,,Dec-07,,
,EE.UU,Auditoría al Sistema de inocuidad alimentaria sobre la producción de productos de carne y aves de corral de Chile,Auditoria sistema,SAG,6/06/2016,28/12/2016,,,Por carta SAG N°7770/2016 se adjuntan comentarios y acciones tomadas por el Servicio Agrícola y Ganadero a los hallazgos indicados en el borrador de informe final de auditoría
,EE.UU,Productos carnicos procesados bovinos,Apertura,,año 2006,,Jul-05,,
FAENACAR ,EE.UU,Productos carnicos procesados porcinos,Apertura,,año 2006,,Jul-05,,
,Guatemala,Tripas saladas  y sin sal de cerdo y bovino,Apertura,,5/12/2016,5/12/2016,,Pendiente Guatemala,05.12.16 Se informa el interés y solicita los requisitos sanitarios y procedimientos que se deben cumplir para la exportación de exportar tripas saladas y sin sal de cerdo y bovino (carta SAG N° 7293/2016).
FAENACAR ,El Salvador,Genética porcina (Semen porcino),Apertura,,4/04/2014,21/08/2014,Dec-14,Detenido,"Se acordó CZE, No hay interés de los privados por visita. "
Exporlac,El Salvador,Plasma bovino y hemoglobina de bovino en polvo,Apertura,,10/10/2014,10/06/2016,,Pendiente El salvador,"10.06.16 carta SAG N°3718/2016 se solicita a El Salvador el estado de repuesta a la carta SAG N°6798/2014,  a la propuesta de CE de plasma y hemoglobina, pendiente desde el 2014."
,El Salvador ,Alimento para mascota extruido,Apertura,,7/03/2016,7/11/2016,,Pendiente El Salvador,"07,11,2016 Gustavo Franz consulta el estado de avance al Director general del MAG."
,El Salvador ,Alimento para mascotas,Apertura,,4/07/2014,26/01/2015,Feb-15,Finalizado,"24.02.15 AA envía carta de aprobación de CZE, además se indica que para poder internarse este tipo de mercancía se debe registrar el producto con Registro y Fiscalización y cumplir el reglamento técnico centroamericano RTCA 63.05.52:11. Se envía contacto para obtener mayor  información del proceso: Dra. Delfy Gochez al correo delfy.gochez@mag.gob.sv"
,Honduras,Tripas saladas  y sin sal de cerdo y bovino,Apertura,,5/12/2016,5/12/2016,,Pendiente Honduras,05.12.16  se informa el interés y solicita los requisitos sanitarios y procedimientos que se deben cumplir para la exportación de exportar tripas saladas y sin sal de cerdo y bovino (carta SAG N° 7294/2016).
Exporlac,Honduras,Apertura carne ,Apertura,CCI-2014-2015,,,,Pendiente SAG,"Se esta trabajando, se encuentra en la etapa final de respuesta."
,Nicaragua , Carnes y productos de Aves y Cerdos,Apertura,,14/03/2012,8/07/2014,Jul-14,Pendiente SAG,"Se requiere coordinar la visita de inspección. Se debe enviar a Nicaragua una carta solicitando visita a los establecimientos cárnicos chilenos. En marzo del 2017, en carta SAG N°1694/2017, informa  el interés de  habilitación para establecimientos de carne de ave (tres), de cerdo (cuatro) y frigorífico (dos) interesados en exportar a su país. SAG solicita incluir en su agenda de habilitaciones a partir del mes  de agosto 2017.Remite listado de establecimientos interesados:"
,Nicaragua ,Platos preparados,Apertura,,7/07/1905,27/02/2015,,Pendiente Nicaragua,Pendiente respuesta Nicaragua.
,República Dominicana,CZE Carne ovina,Apertura,,13/10/2016,26/10/2016,Nov-16,Finalizado,07.11.2016 DIGEGA Informa la aprobación de la porpeusta de CZE.
,República Dominicana,Pollo deshidratado para consumo humano,Apertura,,7/07/1905,4/08/2015,Aug-15,Finalizado., CZE acordado. Iniciadas las exportaciones.
,Canadá,Cueros salados con y sin lana y lana sucia de guanaco,Apertura,,1/04/2014,29/10/2014,Oct-14,Finalizado,"En septiembre de 2014 Canadá envía requisitos sanitarios. SAG envía propuesta de CZE (nota N°6165/2014), misma que es aceptada por Canadá."
,Canadá,"Pieles silvestres de castor, rata almizclera y visón.",Apertura,,1/11/2015,12/11/2015,Nov-15,Finalizado,"En carta SAG N°6671 se solicitan requisitos sanitarios para exportación pieles silvestres castor (Castor canadensis), rata almizclera (Ondatra zibethicus) y visón (Neovison vison). CFIA responde que no se requiere CZE para pieles y cueros secos o curtidos de estos y otros animales. Si se tratara de pieles sin tratamiento, deberán acompañarse de un CZE oficial que establezca que las pieles se producen a partir de animales sanos, libres de enfermedades contagiosas."
,Canadá,Equinos vivos,Mantención,,1/04/2015,27/05/2016,,Pendiente Chile, CFIA consulta por recepción de la información y si SAG está elaborando una propuesta. Se confirma recepción y se da aviso de que el tema está en análisis.
,Cuba,Equinos: ingreso definitivo y temporal ,Apertura,,30/01/2017,,,Pendiente Cuba,El 30.01.17 a través de la carta SAG °695/2017 se solicita a la AS de Cuba los requisitos zoosanitarios  para  la importación definitiva y temporal de equinos a Cuba.
,Costa Rica,Suboproductos de origen porcino y bovino,Mantención para la rehabilitación de los establecimientos ,,28/10/2016,,,Pendiente SAG , El SAG debe entregar a SENASA  la respuesta a los cuestionarios solicitados (2) para la evaluación de la autoridad competente de la Autoridad competente de Chile (DCA-PG-002-RE-041 v01) y el cuestionario con información  general de los  establecimiento (DCA-PG-002-RE-034) interesado en seguir exportando. Estos fueron enviados por SENASA en noviembre del 2016.
,El Salvador ,Tripas saladas y sin sal de cerdo y bovinos,Apértura,Privados,5/12/2016,5/12/2016,,Pendiente El Salvador,"En diciembre del 2016, se informa a la AS de El Salvador el interés y solicita los requisitos sanitarios y procedimientos que se deben cumplir para la exportación de exportar tripas saladas y sin sal de cerdo y bovino (carta SAG N° 7292/2016)."
,Cuba,Exportación de equinos definitivos y temporal ,Apertura,,30/01/2017,30/01/2017,Jan-17,Pendiente Cuba,En enero del 2017 se solicita a la AS de Cuba los requisitos zoosanitarios para la importación definitiva y temporal de equinos a Cuba (carta SAG °695/2017).
,Guatemala,mercados de Aves y cerdos,Apertura,,29/09/2014,,,Pendiente SAG ,"Se requiere que el SAG envíe una solicitud formal para la visita  de la ASde Guatemala, para ello, en abril del 2017 se solicitó al gremio su opinion respecto a la condición de ingreso de los inspectores a los planteles porcinos y de ave.  Desde el 2015 se encuentra pendiente la visita de habilitación a estos establecimientos, debido a la  preocupación de los gremios por el el riesgo de contaminación de sus granjas, tanto avícolas como porcinas. Pendiente acordar CZE."
,México,Cabezas enteras de bovinos,Apertura,Frigorifico Osorno,1/05/2015,6/05/2015,May-15,Finalizado,"De acuerdo a lo señalado en el oficio B00.02.03.01.01.-0044/2015 de SENASICA, en carta SAG N°2509/2015 se adjunta copia de certificado (envío digital y postal), para exportar cabeza entera de bovino para consumo humano. Se solicita a SENASICA informar al personal oficial a cargo en los puertos de esta modificación, para dar inicio a las exportaciones.Se extiende CZE carne bovina"
,México,Viril de bovino (pene) para consumo animal y glándula parótida (molleja) para consumo humano,Apertura,,1/12/2014,27/07/2015,Jul-15,Finalizado,"Se solicita a SENASICA incluir estos sub-productos bovinos en la HRZ correspondiente. SENASICA adjunta  HRZ  para la exportación de estos productos. SAG a través de carta N°2868/2015 envía propuesta de CZE . En julio SAGARPA comunica que ambas Hojas de Requisitos ya están habilitadas y listas, incluidas dentro de “Despojos bovinos, para consumo humano” y “Despojos bovinos, para consumo de perros y gatos”, respectivamente."
,México,Abejorros,Apertura,,1/05/2014,2/07/2014,Jul-14,Finalizado sin apertura,"Se solicita a SENASICA propuesta de HRZ, a fin de proponer un Certificado Zoosanitario de Exportación. Mexico responde que es imposible aceptar la importación de este producto debido a su condición de especie invasora, de alto impacto a la biodiversidad."
,México,Aceite de animales marinos,Apertura,,1/10/2013,1/12/2013,Dec-14,Detenido,"SENASICA informa el interés de importar desde Chile aceite de animales marinos, para consumo animal.  En diciembre de 2013 SENASICA reitera la consulta e introduce una adecuación al Certificado, para ser incluida por el SAG.  A la fecha sin nueva gestión y sin nueva petición por parte de SENASICA."
,México,Anticuerpos,Apertura,,1/06/2012,1/04/2013,Dec-14,Detenido,"SAG envía propuesta de CZE.  SENASICA responde en abril de 2013, emitiendo una propuesta de requisitos. A la fecha sin nueva gestión y sin nueva petición por parte de SENASICA."
,México,Bovinos vivos para reproducción,Apertura,,1/03/2015,5/04/2016,Jun-16,Finalizado ," 31.03.2016: A través de Oficio No. B00.02.03.01.01.-0305-16 se solicitan dos ejemplares de Certificados originales para ser distribuidos en los puntos de ingreso. El 05.04.2016, en carta SAG N°2011/2016, se comunica que los certificados originales serán despachados a la brevedad vía correo certificado."
,México,Carne de ave (Tifosis aviar),Reapertura,,1/07/2015,29/03/2016,Mar-16,Finalizado,"SAG notifica a la OIE brote de tifosis aviar (Salmonella gallinarum) en aves de postura,  en la Región de Arica y Parinacota. SENASICA decide el bloqueo de las Hojas de Requistos Zoosanitarios para carne, despojos y visceras crudos de Chile. Lo anterior implica el cierre de mercado, incluyéndose las mercancias que se encuentran en tránsito internacional. Finalmente SENASICA levanta la medida para los contenedores con producto chileno y restringe la entrada sólo de mercancías provenientes de la Región de Arica y Parinacota."
,México,"Harina de carne y hueso de la especie ovina  y ""Despojos y recortes de carne de ovino para la alimentación animal",Apertura,,1/06/2013,1/10/2013,Oct-13,Finalizado,
ASPROCER,México,Sebo ovino y bovino,Apertura,,3/11/2014,19/11/2014,,Pendiente SAG,"Oficio N° 1146 de SENASICA, solicita el envío del modelo de CZE para su verificación. También envía propuesta de requisitos sanitarios."
,México,Bovinos vivos: engorda y faena ,Apertura,,1/04/2016,4/11/2016,,Pendiente SAG,"Se recepciona Carta B00.02.03.01.01.-0743-16 8172 en respuesta carta SAG N°2671/2016 relativa a bovinos de engorda, se solicitan modificaciones en propuesta de CZE. "
,México,Bovinos vivos: reproducción,Apertura,,,,,Finalizado,02.06.2016: Mercado abierto para vaquillas de reproducción
,México,Cera de abeja de uso industrial,Apertura,,14/06/2014,2/07/2014,,Pendiente SAG. ,"02.07.2014: Oficio N° 460 de SENASICA, solicita el envío del modelo de CZE para su verificación. También envía propuesta de requisitos sanitarios. "
,México,Cueros curtidos terminados,Apertura,,1/06/2015,30/05/2016,May-16,Finalizado,"A través de correo electrónico de AA, se recibe oficio N B00.02.03.01.01.-0996/2016 Senasica acepta garantías de CZE enviado y solicita el envío de dos ejemplares originales.

"
,México,Huevo fértil y pollitos de un día,Apertura,,1/04/2013,28/10/2016,Oct-16,Finalizado,"26.09.2016: AA envía  oficio B00.02.03.01.01.-0841-16 6806 de SENASICA, en referencia a la autorización para la importación del producto “huevo fértil” a México. "
